"gender","kids","marital.status","religious","eAmericanIndian","eAsian","eBlack","eHispanic","eWhite","ePacificIslander","age","ChildhoodResources","CurrentResources","ChildhoodStability","Liberal","SelfProtection","DiseaseAvoidance","AffiliationGroup","AffiliationExclusion","AffiliationIndependence","Status","MateSeeking","MateRetentionGeneral","MateRetentionBreakup","KinCareFamily","KinCareChild","sample","marital.status2","religious2"
"Male","No","Committed Relationship","Evangelical Christian",0,0,0,0,1,0,32,2.75,3.5,6,7,4.83333333333333,3,3.83333333333333,3.83333333333333,5.66666666666667,3.16666666666667,3.16666666666667,3.66666666666667,1.5,6.5,NA,"Neel","Committed","Theist"
"Female","Yes","Committed Relationship","Evangelical Christian",0,0,0,0,1,0,24,5.25,5.25,6.33333333333333,4,5.5,3.66666666666667,4.83333333333333,2.83333333333333,5.33333333333333,4.66666666666667,2.5,6.33333333333333,2,6.16666666666667,7,"Neel","Committed","Theist"
"Female","Yes","Married","Other",0,1,0,0,0,0,55,6.25,6,4.66666666666667,5,4,4.16666666666667,4.66666666666667,4.16666666666667,4.5,4,1.83333333333333,5.83333333333333,1.83333333333333,6.5,6,"Neel","Committed","Other"
NA,"Yes","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,3.16666666666667,5.66666666666667,5.16666666666667,5.66666666666667,4,5.5,5.16666666666667,4.5,7,6.16666666666667,"Neel","Committed",NA
"Female","No","Committed Relationship","Catholic",0,0,0,0,1,0,33,1.75,2.75,2.33333333333333,4.66666666666667,3.33333333333333,4.16666666666667,4,4.16666666666667,6.66666666666667,2.66666666666667,1.16666666666667,5.66666666666667,2.16666666666667,6.83333333333333,NA,"Neel","Committed","Theist"
"Male","No","Single","Jewish",0,0,0,0,1,0,23,5,3.75,5.33333333333333,5.66666666666667,4.66666666666667,3.16666666666667,5.16666666666667,4.83333333333333,2.33333333333333,5.83333333333333,4.5,NA,NA,5.33333333333333,NA,"Neel","Single","Theist"
"Male","No","Single","Protestant Christian",0,0,1,0,0,0,25,2.75,3.5,3.66666666666667,1.66666666666667,6,4,4,4.16666666666667,5.5,4.33333333333333,3.83333333333333,NA,NA,5.66666666666667,NA,"Neel","Single","Theist"
"Male","Yes","Married","Other",0,1,0,0,0,0,48,3.5,3,6.66666666666667,3,5.5,6.16666666666667,5.5,2,5.16666666666667,4.16666666666667,2,5.5,2.33333333333333,7,6.83333333333333,"Neel","Committed","Other"
"Female","No","Committed Relationship","Evangelical Christian",0,0,0,0,1,0,26,2.5,4.25,4.66666666666667,5.66666666666667,2.16666666666667,1.5,4.66666666666667,5.5,4.33333333333333,5,1.66666666666667,5.83333333333333,3.33333333333333,4.16666666666667,NA,"Neel","Committed","Theist"
"Male","Yes","Committed Relationship","Hindu",0,0,0,0,1,0,26,4,5.25,5,5,5.16666666666667,4.33333333333333,5,4.33333333333333,3.66666666666667,5.33333333333333,2.83333333333333,6.33333333333333,3.33333333333333,6.5,6.33333333333333,"Neel","Committed","Theist"
