"kids","life.survey_1","life.survey_2","life.survey_3","life.survey_4","life.survey_5","life.survey_6","life.survey_7","life.survey_8","life.survey_9","life.survey_10","life.survey_11","life.survey_12","life.survey_13","life.survey_14","life.survey_15","life.survey_16","life.survey_17","life.survey_18","life.survey_19","life.survey_20","life.survey_21","life.survey_22","life.survey_23","life.survey_24","life.survey_25","life.survey_26","life.survey_27","life.survey_28","life.survey_29","life.survey_30","life.survey_31","life.survey_32","life.survey_33","life.survey_34","life.survey_35","life.survey_36","life.survey_37","life.survey_38","life.survey_39","life.survey_40","life.survey_41","life.survey_42","life.survey_43","life.survey_44","life.survey_45","life.survey_46","life.survey_47","life.survey_48","life.survey_49","life.survey_50","life.survey_51","life.survey_52","life.survey_53","life.survey_54","life.survey_55","life.survey_56","life.survey_57","life.survey_58","life.survey_59","life.survey_60","life.survey_61","life.survey_62","life.survey_63","life.survey_64","life.survey_65","life.survey_66","life.survey_67","life.survey_68","life.survey_69","life.survey_70","life.survey_71","life.survey_72","life.survey_73","life.survey_74","life.survey_75","life.survey_76","life.survey_77","life.survey_78","life.survey_79","life.survey_80","life.survey_81","past.year.survey_1","past.year.survey_2","past.year.survey_3","past.year.survey_4","past.year.survey_5","past.year.survey_6","past.year.survey_7","past.year.survey_8","past.year.survey_9","past.year.survey_10","past.year.survey_11","past.year.survey_12","past.year.survey_13","past.year.survey_14","past.year.survey_15","past.year.survey_16","past.year.survey_17","past.year.survey_18","past.year.survey_19","past.year.survey_20","past.year.survey_21","past.year.survey_22","past.year.survey_23","past.year.survey_24","past.year.survey_25","past.year.survey_26","past.year.survey_27","past.year.survey_28","past.year.survey_29","past.year.survey_30","past.year.survey_31","past.year.survey_32","past.year.survey_33","past.year.survey_34","past.year.survey_35","past.year.survey_36","past.year.survey_37","past.year.survey_38","past.year.survey_39","past.year.survey_40","past.year.survey_41","past.year.survey_42","past.year.survey_43","past.year.survey_44","past.year.survey_45","past.year.survey_46","past.year.survey_47","past.year.survey_48","past.year.survey_49","past.year.survey_50","past.year.survey_51","past.year.2_1","past.year.2_2","past.year.2_3","past.year.2_4","past.year.2_5","past.year.2_6","past.year.2_7","past.year.2_8","past.year.2_9","past.year.2_10","past.year.2_11","past.year.2_12","past.year.2_13","past.year.2_14","past.year.2_15","past.year.2_16","past.year.2_17","past.year.2_18","past.year.2_19","past.year.2_20","past.year.have_1","past.year.have_2","past.year.have_3","past.year.have_4","past.year.have_5","past.year.have_6","past.year.have_7","past.year.have_8","divorce","clothes","gender","age","child.age","family.death.age","education","socioeconomic","income","political.views","religious","religious_8_TEXT","relationship.time","weight","covid_NPS_GROUP","covid","work","essential","home","in.person","video.chat","community","media","government_NPS_GROUP","government","return.to.school_NPS_GROUP","return.to.school","contracted","public.health_NPS_GROUP","public.health","distancing_NPS_GROUP","distancing","children.care.now","children.care.past","SelfProtection","DiseaseAvoidance","AffiliationGroup","AffiliationExclusion","AffiliationIndependence","Status","MateSeeking","MateRetentionGeneral","MateRetentionBreakup","KinCareFamily","KinCareChild","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness","STMO","LTMO","PVDInfect","PVDGerm","Dominance","Prestige","ECRAnxiety","ECRAvoidance","NeedtoBelong","BDW","ChildhoodResources","CurrentResources","ChildhoodStability","Liberal","marital.status","eAmericanIndian","eAsian","eBlack","eHispanic","eWhite","ePacificIslander","eOther","wFullTime","wPartTime","wUnemployedLooking","wUnemployedNotLooking","wStudent","wOther","height"
"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No","No","No","No","No","No","",1,"Male",26,NA,12,"Some college","Lower Middle","30,000-39,999","Democrat","Atheist","",1,180,2,7,"No",NA,NA,2,1,"Yes",25,1,5,1,3,0,1,6,1,6,NA,NA,3.66666666666667,3.83333333333333,4.33333333333333,3.33333333333333,4.16666666666667,4.33333333333333,3.33333333333333,3.83333333333333,3.5,3.5,NA,2.75,3.11111111111111,3.11111111111111,3.25,2.6,3.3,3.28571428571429,3.85714285714286,4.125,3.875,4,NA,NA,NA,NA,3.5,3.25,5,4.66666666666667,"Committed Relationship",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,69
"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,6,0,0,5,0,4,4,1,0,2,1,1,0,0,0,4,6,0,1,0,"No","No","No","No","No","Maybe","No","Yes","",2,"Male",31,29,NA,"Bachelors degree","Middle Middle","70,000-79,999","Republican","Protestant Christian","",7,154,1,5,"No",NA,NA,5,0,"Yes",20,1,6,1,4,0,1,4,1,5,10,3,5.83333333333333,3.5,4.5,5.66666666666667,5.5,4.5,3,4.33333333333333,3.33333333333333,4.66666666666667,4.83333333333333,3.25,3.77777777777778,3.66666666666667,2.5,3.5,3.4,3.14285714285714,4,3.625,4,4.66666666666667,NA,NA,NA,NA,3.5,5.25,3.66666666666667,2,"Married",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64
"No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No",0,5,11,5,0,0,0,0,0,0,0,11,0,0,1,0,0,0,1,0,0,0,0,1,4,8,0,0,0,0,0,0,1,0,2,0,0,0,2,1,3,1,0,0,11,1,7,0,0,0,0,7,7,7,5,0,5,1,3,0,4,7,1,0,2,1,0,7,0,0,1,"No","No","No","No","No","No","No","No","",2,"Male",29,NA,29,"Some college","Lower Middle","40,000-49,999","Other or Unaffiliated","Other","Agnostic",6,140,2,8,"Sometimes","Yes","Yes",1,8,"Yes",90,1,0,1,0,1,3,10,3,9,NA,NA,4,6.33333333333333,5,3.16666666666667,3.66666666666667,2.5,0.833333333333333,5.5,1.83333333333333,7,NA,1.625,4.22222222222222,2,4.25,4.3,NA,NA,NA,NA,NA,NA,2.27777777777778,2.5,4.2,2.83333333333333,4.5,1,6,7,"Committed Relationship",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,69
"No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","No","No",0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,11,11,4,5,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,5,2,7,5,0,4,0,0,2,3,5,0,2,0,2,0,5,0,0,4,"No","No","No","No","No","Yes","No","No","",2,"Male",29,NA,21,"Bachelors degree","Middle Middle","150,000-199,999","Democrat","Atheist","",7,180,3,10,"No",NA,NA,2,7,"Yes",60,1,6,1,0,1,3,10,3,10,NA,NA,5.33333333333333,4.33333333333333,4.83333333333333,3.66666666666667,5.16666666666667,5,1.66666666666667,5.66666666666667,1.66666666666667,6,NA,2.125,2.22222222222222,3.88888888888889,3,3.2,3.7,5,4.71428571428571,4.25,5.125,5.44444444444444,NA,NA,NA,NA,3.25,5,3,5,"Married",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,69
"No","No","Yes","No","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No",0,9,0,0,0,0,0,8,0,0,11,9,0,4,0,1,6,0,0,1,0,0,9,0,7,10,0,0,0,6,5,6,8,3,9,4,0,11,0,3,1,0,0,2,0,3,0,0,2,0,9,0,1,5,0,0,0,0,0,0,6,0,5,5,6,3,0,0,5,0,0,"No","No","No","No","Yes","No","Yes","No","0",2,"Male",33,NA,NA,"Some college","Working","30,000-39,999","Other or Unaffiliated","Atheist","",3,177,2,7,"Sometimes","No","Yes",3,0,"No",15,1,0,1,0,0,3,10,3,10,NA,NA,3.66666666666667,2.83333333333333,4.33333333333333,4.5,4.33333333333333,4,5,NA,NA,3,NA,3,2.88888888888889,3.11111111111111,3.375,3.6,NA,NA,NA,NA,NA,NA,4.11111111111111,4.16666666666667,3.5,2.75,3.5,2.25,4.33333333333333,6,"Single",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,76
"No","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes",0,7,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,7,0,5,0,2,1,4,6,6,5,"No","Maybe","No","No","Yes","Yes","No","Yes","",2,"Female",31,NA,10,"Bachelors degree","Middle Middle","20,000-39,999","Other or Unaffiliated","Atheist","",1,135,3,9,"No",NA,NA,0,5,"Yes",10,1,1,1,5,0,3,10,3,10,NA,NA,5.66666666666667,5.83333333333333,3.83333333333333,4.66666666666667,4.66666666666667,5.5,3.5,NA,NA,4,NA,2.375,2.66666666666667,3.88888888888889,3.625,3.8,NA,NA,NA,NA,NA,NA,4,2.94444444444444,4.2,3.91666666666667,3,4.5,5.33333333333333,5,"Single",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,60
"No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No",0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,3,0,0,1,3,6,0,0,0,0,0,0,0,0,1,"No","No","No","No","Yes","No","No","No","",3,"Male",36,NA,8,"High scool completed or GED","Lower Middle","60,000-69,999","Democrat","Atheist","",7,155,2,7,"Yes","Yes","Yes",1,0,"Yes",20,1,1,1,0,0,3,10,3,10,NA,NA,2,6,3,3.16666666666667,7,3.16666666666667,3.33333333333333,5.16666666666667,3.33333333333333,2.66666666666667,NA,1.125,1.88888888888889,4.33333333333333,4.125,2.1,2.8,5,3.71428571428571,5.625,2.625,3.22222222222222,NA,NA,NA,NA,1,2.5,3,7,"Committed Relationship",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,69
"No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","Yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,5,1,1,0,0,4,0,0,0,0,6,0,0,7,0,0,0,0,0,5,"No","No","No","No","No","No","No","Yes","",2,"Male",58,NA,32,"Bachelors degree","Middle Middle","150,000-199,999","Independent","Protestant Christian","",8,165,1,3,"No",NA,NA,5,0,"Yes",30,1,6,1,5,0,1,4,1,6,NA,NA,2.83333333333333,3.83333333333333,4.66666666666667,2.5,3.83333333333333,3.16666666666667,1.66666666666667,5.33333333333333,2.16666666666667,6,NA,1.125,4.11111111111111,4.33333333333333,1,2.7,2.8,4,2.71428571428571,3,1.625,3.88888888888889,NA,NA,NA,NA,2.25,4.75,4.33333333333333,1,"Married",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,70
"No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No",0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,2,1,0,0,0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,5,0,0,0,0,0,1,0,0,1,"Yes","Yes","No","No","No","No","No","No","",2,"Male",24,NA,20,"High scool completed or GED","Lower Middle","30,000-39,999","Democrat","Atheist","",1,330,2,7,"No",NA,NA,2,0,"Yes",20,1,0,1,0,1,3,10,3,10,NA,NA,5.33333333333333,5.83333333333333,4.33333333333333,4.16666666666667,4,4.16666666666667,3.5,NA,NA,5.33333333333333,NA,2.875,3.11111111111111,3.88888888888889,3,4.1,3.2,4.14285714285714,3.14285714285714,4.125,3.125,4.44444444444444,NA,NA,NA,NA,2.25,1,2.33333333333333,5,"Single",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,71
"No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,1,3,7,0,0,0,0,0,6,0,0,0,"No","No","No","No","No","No","No","No","",1,"Male",33,NA,14,"High scool completed or GED","Lower Middle","50,000-59,999","Independent","Atheist","",1,185,1,3,"No",NA,NA,1,0,"Yes",3,1,4,1,1,0,2,8,3,9,NA,NA,7,5.66666666666667,3.16666666666667,5.83333333333333,7,4.66666666666667,1.33333333333333,NA,NA,1.16666666666667,NA,1,2,3.22222222222222,4,3.8,4.8,2.28571428571429,2.28571428571429,5.625,1.75,2.55555555555556,NA,NA,NA,NA,3.5,4.5,6.66666666666667,4.66666666666667,"Single",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,68
